SKU_ID,ProductID,CPU,GPU,VRAM,RAM,StorageType,StorageCapacity,ScreenSize,Weight,Price,Stock
82H803LKIN,23,Intel Core i5 (11th Gen),Iris Xe,0,16,SSD,512,15.6,1.67,40990,35
XIA-8ZHIF,24,Intel Core i3 (11th Gen),UHD,0,8,SSD,256,15.6,1.93,31490,10
83DA0049IN,25,Intel Core Ultra 5,Arc,0,16,SSD,1024,14.0,1.51,80990,32
82K101GSIN,18,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,SSD,512,15.6,2.33,50990,27
ASU-AIBLH,26,Intel Core i5 (11th Gen),"GeForce RTX 2050 GPU, 4 GB",4,8,SSD,512,17.3,2.34,57990,5
637S3PA,27,Intel Celeron Dual-Core,UHD,0,8,SSD,256,14.0,1.34,25449,41
7L030PA,28,AMD Quad-Core Ryzen 3,Radeon,0,8,SSD,512,15.6,1.61,36990,30
82BA001PHA,29,Intel Celeron Dual-Core,UHD,0,4,SSD,64,11.6,1.08,18999,19
ACE-JXF6W,30,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",4,8,SSD,512,15.6,2.24,48990,25
ASU-3YY6Q,31,Intel Core i5 (11th Gen),Iris Xe,0,16,SSD + HDD,1280,15.6,1.66,47990,21
ACE-IAPXT,32,AMD Dual-Core Ryzen 3,Radeon,0,8,SSD,256,14.0,1.47,28990,12
689T3PA,33,AMD Dual-Core Ryzen 3,Radeon,0,8,SSD,512,14.0,1.51,26990,10
D560656WIN9S,34,Intel Core i3 (11th Gen),UHD,0,8,SSD,512,15.6,1.83,39250,20
3Y0H4PA,35,Intel Celeron Dual-Core,UHD,0,8,SSD,256,14.0,1.48,27875,17
ASU-12MRW,36,Intel Celeron Dual-Core,UHD,0,4,SSD,128,11.6,1.05,24999,42
MSI-KUUF4,37,Intel Core i5 (11th Gen),"GeForce RTX 3050 GPU, 4 GB",4,8,SSD,512,15.6,2.56,56990,15
ASU-6NQQH,38,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,SSD,512,15.6,2.28,51160,49
ACE-ILVGQ,39,Intel Core i3 (12th Gen),UHD,0,8,SSD,512,15.6,1.84,35199,41
ACE-2CBPK,40,Intel Core i3 (11th Gen),UHD,0,8,SSD,512,15.6,1.79,32990,25
ACE-B9XYX,41,Intel Pentium Quad-Core,UHD 605,0,4,SSD,256,15.6,1.81,23999,23
ASU-I244J,42,Intel Core i5 (13th Gen),Iris Xe,0,16,SSD,512,15.6,1.73,64990,8
82K201UMIN,43,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 GPU, 4 GB",4,16,SSD,512,15.6,2.59,72990,21
ASU-79I1U,44,Intel Core i9 (12th Gen),Iris Xe,0,32,SSD,1024,14.0,1.08,169990,9
5R7P5PA,45,Intel Core i3 (11th Gen) Processor,UHD,0,8,SSD,512,15.6,1.66,49999,1
HP-QPXWQ,46,Intel Core i5 (12th Gen),Iris Xe,0,16,SSD,512,14.0,1.41,54990,12
ASU-4BE6H,47,AMD Octa-Core Ryzen 7,"GeForce RTX 3060 GPU, 6 GB",6,16,SSD,1024,15.6,2.32,96990,37
ASU-JCTVV,48,Intel Core i3 (11th Gen),UHD,0,8,SSD,512,14.0,1.43,36999,33
D560818WIN9B,49,AMD Hexa-Core Ryzen 5,"GeForce RTX 3050 GPU, 4 GB",4,16,SSD,512,15.6,2.04,89500,9
SAM-DU80Z,50,Intel Core i5 (12th Gen),Iris Xe,0,16,SSD,512,13.3,1.22,72990,49
82H801L3IN,21,Intel Core i3 (11th Gen) Processor,UHD,0,8,SSD,256,15.6,1.65,34990,41
ACE-DR3K5,51,Intel Core i9 (11th Gen),"GeForce RTX 3060 GPU, 6 GB",6,16,SSD,1024,15.6,2.55,129990,25
MSI-I9BVF,52,Intel Core i7 (10th Gen),"GeForce GTX 1650 Max Q GPU, 4 GB",4,8,SSD + HDD,1280,15.6,2.34,65999,50
D560594WIN9S,53,Intel Core i5 (11th Gen),Iris Xe,0,8,SSD,512,14.0,1.52,76900,13
ASU-XYDV9,54,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,SSD,512,15.6,2.31,50990,50
ASU-PHE1O,55,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 Ti GPU, 4 GB",4,16,SSD,512,15.6,2.34,141990,12
ASU-FG6ZY,56,AMD Dual-Core Ryzen 3,Integrated,0,8,SSD,256,15.6,1.71,59999,30
ASU-GYDQJ,57,Intel Core i3 (10th Gen),UHD,0,8,SSD,512,15.6,1.71,32990,26
INF-0K9L3,58,Intel Core i7 (13th Gen),Iris Xe,0,16,SSD,512,15.6,1.84,49990,35
82AU00KLIN,59,Intel Core i5 (10th Gen),"Geforce GTX 1650 GPU, 4 GB",4,8,SSD,512,15.6,2.36,53535,35
6Q0M8PA,60,AMD Dual-Core Ryzen 3,Radeon,0,8,SSD,512,15.6,1.72,37990,30
681Y5PA,61,Intel Celeron Dual-Core,UHD,0,8,SSD,256,14.0,1.32,28990,41
ASU-35M7V,62,AMD Dual-Core Ryzen 3,Radeon Vega 3,0,8,SSD,512,15.6,1.67,41990,45
ACE-NMG0M,63,Intel Core i5 (12th Gen),"GeForce RTX 2050 GPU, 4 GB",4,16,SSD,512,15.6,2.58,55500,41
ASU-VMGDC,64,Intel Core i3 (12th Gen),UHD Graphics,0,8,SSD,512,15.6,1.74,59800,45
D560841WIN9S,34,Intel Core i3 (11th Gen) Processor,Integrated,0,8,SSD + HDD,1280,15.6,1.74,42399,26
82HS00W2IN,65,Intel Core i3 (11th Gen),UHD,0,8,SSD,512,14.0,1.3,56999,49
ACE-85FBG,66,Intel Core i3 (12th Gen) Processor,UHD,0,8,SSD,256,15.6,1.79,31490,42
ACE-6MN3W,67,AMD Quad-Core Ryzen 5,Radeon,0,8,SSD,512,15.6,1.73,32990,25
ASU-KL1IF,68,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 GPU, 4 GB",4,16,SSD,512,17.3,2.33,77990,38
D560869WIN9B,69,Intel Core i3 (12th Gen),Integrated,0,8,SSD,256,15.6,1.79,33990,7
D560819WIN9B,49,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 GPU, 4 GB",4,16,SSD,512,15.6,2.55,79990,23
ASU-DK5RC,70,AMD Hexa-Core Ryzen 5,Radeon,0,16,SSD,512,14.0,1.14,91990,18
ACE-JUG00,67,AMD Quad-Core Ryzen 3,Radeon,0,8,SSD,512,15.6,1.75,30990,19
6F9T9PA,71,AMD Hexa-Core Ryzen 5,"GeForce RTX 3050 Ti GPU, 4 GB",4,8,SSD,512,15.6,2.59,64551,31
INF-UWMJW,72,Intel Core i3 (10th Gen),"UHD GPU, 128 MB",0,8,SSD,512,14.0,1.55,27990,18
ACE-WRUUX,73,Intel Core i5 (11th Gen),Iris Xe,0,8,SSD,512,14.0,1.01,71480,46
APP-LQNEI,74,Apple M1,M1,0,8,SSD,256,13.3,1.29,90900,6
REA-GTIAV,75,Intel Core i3 (11th Gen),UHD,0,8,SSD,256,14.0,1.39,42999,15
APP-VFAUJ,76,Intel Core i5 (5th Gen),HD 6000,0,8,SSD,128,13.3,1.28,67990,35
494P2PA,77,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",4,8,SSD,512,16.1,2.96,62112,26
ASU-8DVCV,78,Intel Core i5 (12th Gen),"GeForce RTX 2050 GPU, 4 GB",4,8,SSD,512,16.0,2.99,57990,35
ASU-S9Y0M,79,Intel Celeron Dual-Core,UHD 600,0,4,HDD,1024,15.6,1.81,23804,39
3E3R5PA,80,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",4,8,SSD,512,15.6,2.02,56990,1
6N024PA,81,Intel Core i3 (11th Gen),UHD,0,8,SSD,256,14.0,1.47,33990,45
ASU-EOZOO,82,Intel Core i3 (10th Gen),UHD,0,8,SSD,512,15.6,1.7,35990,48
6N049PA,83,Intel Core i3 (11th Gen),Integrated,0,8,SSD,512,15.6,1.69,37023,50
ACE-VVUI4,84,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,SSD,512,15.6,2.02,49500,5
ASU-UQSG2,85,Intel Core i3 (11th Gen),UHD,0,8,SSD,512,15.6,1.73,33990,13
35K35PA,86,AMD Dual-Core Ryzen 3,Radeon Vega 6,0,8,SSD + HDD,1280,15.6,1.72,36990,20
ASU-4RJFK,87,Intel Core i5 (11th Gen),Iris Xe,0,8,SSD,512,15.6,1.73,41999,45
ASU-QX4Z9,88,Intel Core i5 (11th Gen),Iris Xe,0,16,SSD,512,14.0,1.43,46990,41
ASU-R0ZY3,89,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,SSD,512,15.6,2.25,50990,25
APP-TD5QB,90,Apple M2 Processor,M2 Integrated,0,8,SSD,256,13.6,1.32,92990,27
50M63PA,91,AMD Hexa-Core Ryzen 5,Radeon,0,8,SSD,512,15.6,1.73,36499,29
ACE-LJP5N,30,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",4,8,SSD,512,15.6,2.11,49490,30
ACE-YM6HH,30,AMD Hexa-Core Ryzen 5 Processor,"GeForce GTX 1650 GPU, 4 GB",4,16,SSD,512,15.6,2.5,56990,10
ACE-HP60J,30,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",4,8,SSD,512,15.6,2.42,49490,6
ASU-53MJI,92,Intel Core i5 (10th Gen),UHD,0,8,SSD,512,15.6,1.69,44990,30
81X800N2IN,93,Intel Core i3 (11th Gen),UHD,0,8,SSD,512,15.6,1.78,33900,36
50M62PA,94,AMD Quad-Core Ryzen 3,Radeon,0,8,SSD,512,15.6,1.67,30990,31
50M59PA,95,AMD Quad-Core Ryzen 3,Radeon,0,8,SSD,512,14.0,1.32,33978,38
81H7001WIN,96,Intel Core i3 (7th Gen),HD 620,0,4,HDD,1024,15.6,1.86,36370,31
XIA-7N9OT,97,Intel Core i5 (11th Gen),Iris Xe,0,8,SSD,512,15.6,1.67,39990,31
81X800J3IN,98,Intel Core i3 (11th Gen),UHD,0,8,SSD,512,15.6,1.61,40990,41
81DE01MJIN,99,Intel Core i5 (8th Gen),"Geforce MX150 GPU, 2 GB",2,8,HDD,1024,15.6,1.74,32927,18
ASU-R0CTR,100,Intel Core i5 (10th Gen),UHD,0,8,SSD,512,15.6,1.69,48188,3
AVI-45IP6,101,AMD Quad-Core Ryzen 5,Radeon Vega 8,0,8,SSD,512,14.0,1.52,51490,3
ACE-9EOTY,6,Intel Core i3 (11th Gen),Integrated,0,8,SSD,256,14.0,1.51,26999,12
INF-MQQJH,102,Intel Core i3 (10th Gen),UHD,0,8,SSD,256,14.0,1.46,29990,38
82H802XXIN,103,Intel Core i5 (11th Gen),Iris Xe,0,16,SSD,512,15.6,1.7,50990,40
ACE-L5H1G,6,Intel Core i3 (11th Gen),UHD,0,8,SSD,512,14.0,1.38,27990,26
360L7PA,104,Intel Pentium Dual-Core,UHD,0,8,HDD,1024,15.6,1.69,40550,24
82H803HQIN,23,Intel Core i5 (11th Gen),Iris Xe,0,8,SSD,512,15.6,1.66,40990,38
82H802KVIN,2,Intel Core i5 (11th Gen),Integrated,0,8,SSD,512,15.6,1.67,54990,20
MSI-DEVLD,105,Intel Core i5 (9th Gen),"Geforce GTX 1650 Max-Q GPU, 4 GB",4,8,SSD,512,15.6,2.05,57999,5
546K2PA,106,Intel Core i3 (11th Gen),UHD,0,8,SSD,512,14.0,1.41,45890,35
82K101LGIN,18,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,SSD,512,15.6,2.21,53000,6
ASU-VCD1N,107,Intel Core i5 (10th Gen),"GeForce GTX 1650 Ti GPU, 4 GB",4,8,SSD,512,15.6,2.31,55990,34
9D3M7PA,108,Intel Core i3 (12th Gen),UHD,0,8,SSD,512,14.0,1.35,41490,41
82K101B6IN,109,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,SSD,512,15.6,2.07,53000,36
82R400ERIN,110,AMD Hexa-Core Ryzen 5,Radeon,0,16,SSD,512,15.6,1.84,38990,41
INF-5OYE5,111,Intel Core i3 (10th Gen),UHD,0,8,SSD,512,15.6,1.77,32990,21
4R8B8PA,112,AMD Dual-Core Ryzen 3,Radeon,0,8,SSD,256,15.6,1.68,37890,37
6Q0N0PA,113,AMD Dual-Core Ryzen 3,Radeon,0,8,SSD,256,15.6,1.66,27990,37
81WB0193IN,114,Intel Core i3 (10th Gen),UHD,0,8,SSD,256,15.6,1.62,34690,10
ASU-XF04F,115,Intel Core i5 (12th Gen),Iris Xe,0,16,SSD,512,14.0,1.48,61990,3
XIA-4AYX1,116,Intel Core i5 (11th Gen) Processor,Iris Xe,0,16,SSD,512,15.6,1.77,63976,28
D560860WIN9BE,34,Intel Core i3 (11th Gen),UHD,0,8,SSD + HDD,1280,15.6,1.91,34499,3
6D9T7PA,117,AMD Hexa-Core Ryzen 5,Radeon,0,16,SSD,512,14.0,1.48,66596,9
5S7P8PA,118,Intel Core i3 (11th Gen),UHD,0,8,SSD,512,15.6,1.71,37099,12
440L6PA,119,AMD Quad-Core Ryzen 5,Radeon Vega 8,0,8,SSD,512,15.6,1.65,41999,1
AVI-2XP34,120,AMD Quad-Core Ryzen 5,Radeon RX Vega 10,0,8,SSD,512,14.0,1.54,42492,17
689H4PA,121,AMD Hexa-Core Ryzen 5,Radeon,0,8,SSD,512,14.0,1.56,54490,5
81X800LCIN,2,Intel Core i3 (11th Gen),UHD,0,8,SSD,256,15.6,1.69,32500,17
ASU-W5KS4,122,Intel Core i3 (11th Gen),UHD,0,4,SSD,256,15.6,1.69,30900,8
6Z2P5PA,123,Intel Core i5 (12th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,SSD,512,15.6,2.0,60999,11
38Y95PA,124,Intel Core i3 (11th Gen) Processor,UHD,0,8,SSD,256,14.0,1.53,39646,35
ASU-P2S1D,125,AMD Quad-Core Ryzen 3,Radeon,0,8,SSD,512,15.6,1.77,37990,42
80S700DRIH,126,Intel Core i3 (6th Gen),HD 520,0,4,HDD,1024,14.0,1.64,40940,31
ASU-3X0FL,127,AMD Octa-Core Ryzen 7,Radeon,0,16,SSD,512,15.6,1.94,61899,23
82RK0062IN,128,Intel Core i5 (12th Gen),Iris Xe,0,8,SSD,512,15.6,1.63,46990,47
ASU-RQLJG,129,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 GPU, 4 GB",4,16,SSD,512,17.3,3.08,67990,11
3V2N1PA,130,Intel Core i5 (11th Gen) Processor,Iris Xe,0,8,SSD,512,15.6,1.68,50299,32
82RK0085IN,114,Intel Core i5 (12th Gen),Iris Xe,0,16,SSD,512,15.6,1.65,57990,44
ASU-BXOHB,131,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,SSD,512,15.6,2.31,55990,33
INF-0UJUB,102,Intel Core i5 (10th Gen),UHD,0,8,SSD,512,14.0,1.58,47999,5
81X700CWIN,132,Intel Core i3 (11th Gen),UHD,0,8,SSD,256,14.0,1.37,36890,14
2R2H3PA,133,Intel Core i3 (11th Gen),UHD,0,8,SSD,256,14.0,1.57,52185,25
18N71PA,134,Intel Celeron Dual-Core,UHD 600,0,4,HDD,1024,15.6,1.67,22071,7
82H701DNIN,114,Intel Core i3 (11th Gen),UHD,0,8,SSD,512,14.0,1.65,39900,19
4N0W7PA,135,AMD Hexa-Core Ryzen 5,"Radeon RX 5500M GPU, 4 GB",4,8,SSD,512,16.1,2.37,53999,4
D560801WIN9B,34,Intel Core i3 (11th Gen) Processor,UHD Graphics,0,8,SSD,512,15.6,1.73,37990,14
ACE-FBFXV,136,Intel Core i5 (12th Gen),"GeForce RTX 2050 GPU, 4 GB",4,16,SSD,512,15.6,2.72,49990,18
3V6P4PA,137,AMD Quad-Core Ryzen 3,Radeon,0,8,SSD,512,14.0,1.39,43999,47
81X800LAIN,114,Intel Core i3 (11th Gen),UHD,0,8,SSD,512,15.6,1.63,39448,14
ACE-UJW7X,136,Intel Core i5 (12th Gen),"GeForce RTX 2050 GPU, 4 GB",4,8,SSD,512,15.6,2.54,48990,39
APP-2RU82,138,2.3 Ghz Processor,M1,0,16,SSD,1024,14.2,1.59,219990,44
546K8PA,139,Intel Core i5 (11th Gen),Iris Xe,0,8,SSD,512,15.6,1.68,59800,29
82H801FKIN,2,Intel Core i3 (11th Gen),UHD,0,8,SSD,512,15.6,1.69,35100,25
300J2PA,140,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",4,8,SSD,512,15.6,2.61,56064,44
D560896WIN9B,69,Intel Core i3 (12th Gen),UHD,0,8,SSD,512,15.6,1.72,36990,40
ACE-0J96R,136,Intel Core i5 (12th Gen),"GeForce GTX 3050 GPU, 4 GB",4,16,SSD,512,15.6,2.38,57990,23
82FG0125IN,141,Intel Core i5 (11th Gen) Processor,Iris Xe,0,16,SSD,512,15.6,1.63,58790,32
ACE-DI4NM,136,Intel Core i5 (12th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,SSD,512,15.6,2.59,53890,6
82VG00EQIN,142,AMD Dual-Core Athlon,Radeon 610M,0,8,SSD,512,15.6,1.92,28990,25
637X2PA,143,Intel Core i5 (11th Gen),Iris Xe,0,8,SSD,512,15.6,1.67,51490,26
5R7P3PA,144,Intel Core i3 (11th Gen) Processor,UHD,0,8,SSD,512,15.6,1.72,38500,18
2N1L4PA,145,Intel Core i7 (11th Gen),Iris Xe,0,16,SSD,1024,14.0,1.41,76999,10
D560766WIN9BE,146,AMD Dual-Core Athlon,Radeon,0,8,SSD,256,15.6,1.72,31990,1
MSI-APRX4,147,AMD Octa-Core Ryzen 7,"Radeon RX6500M GPU, 4 GB",4,16,SSD,512,15.6,1.88,61990,8
MSI-0W51V,148,Intel Core i5 (11th Gen),"GeForce GTX 1650 MAX Q GPU, 4 GB",4,8,SSD,512,15.6,2.54,47769,45
ACE-UI5UV,63,Intel Core i5 (12th Gen),GeForce RTX 2050,0,8,SSD,512,15.6,2.64,62990,22
ASU-17H0U,149,Intel Celeron Dual-Core,HD 500,0,4,SSD,64,14.0,1.38,18990,47
ACE-TQ7U8,150,Intel Core i3 (10th Gen),UHD,0,4,SSD,512,14.0,1.46,27775,5
ACE-DGC52,151,Intel Core i3 (8th Gen),UHD 620,0,4,HDD,1024,15.6,1.82,30360,27
81WB010XIN,152,Intel Core i3 (10th Gen),UHD,0,4,SSD,256,15.6,1.62,34990,17
81WH007KIN,153,Intel Celeron Dual-Core,Integrated,0,4,SSD,256,14.0,1.36,25200,44
695R9PA,154,Intel Core i5 (12th Gen),Iris Xe,0,8,SSD,512,14.0,1.55,54999,9
INF-2O4JU,72,Intel Core i5 (10th Gen),"UHD GPU, 128 MB",0,8,SSD,512,14.0,1.36,33390,25
82K2025LIN,43,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",4,16,SSD,512,15.6,2.72,72000,34
6K7V7PA,155,AMD Hexa-Core Ryzen 5,Radeon Graphics,0,16,SSD,512,14.0,1.54,50568,26
D560573WIN9BE,34,Intel Core i3 (10th Gen),UHD,0,8,SSD + HDD,1280,15.6,1.84,35999,47
ICC-D585041WIN8,156,Intel Core i3 (10th Gen),UHD,0,8,SSD + HDD,1280,15.6,1.92,44350,32
82V6006EIN,157,Intel Celeron Dual-Core,UHD,0,8,SSD,256,14.0,1.35,25490,49
ACE-YMM5J,158,Intel Core i7 (12th Gen),"GeForce RTX 3070 Ti GPU, 8 GB",8,16,SSD,1024,15.6,2.26,102990,29
6K9C6PA,159,Intel Core i5 (12th Gen),Iris Xe,0,8,SSD,512,14.0,1.45,62490,1
ASU-DOI0C,160,Intel Celeron Dual-Core,UHD,0,4,SSD,128,15.6,1.86,17990,7
7K4X0PA,161,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,SSD,512,16.1,2.98,55400,42
82YU00W7IN,162,AMD Quad-Core Ryzen 3,Radeon,0,8,SSD,512,15.6,1.8,27990,31
81Y401ANIN,163,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,SSD + HDD,1280,15.6,2.1,60990,17
7K4X1PA,164,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",4,16,SSD,512,16.1,2.9,60900,23
8H968PA,165,AMD Hexa-Core Ryzen 5,Radeon,0,16,SSD,512,15.6,1.74,44800,2
8H969PA,166,AMD Octa-Core Ryzen 7,Radeon,0,16,SSD,512,15.6,1.72,48990,47
MSI-I5ZIQ,167,Intel Core i7 (7th Gen),"GeForce GTX 1050 GPU, 4 GB",4,8,HDD,1024,15.6,2.49,67990,26
ACE-1XDE8,168,AMD Dual-Core Athlon,Radeon,0,4,SSD,256,14.0,1.63,22899,30
ASU-FJUO0,169,AMD Octa-Core Ryzen 7,Radeon,0,16,SSD,512,16.0,2.36,58990,45
ACE-V5044,12,Intel Core i7 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",6,16,SSD,512,16.0,3.04,120980,49
67U22PA,170,Intel Core i5 (12th Gen),Iris Xe,0,8,SSD,512,15.6,1.65,74250,48
48U95PA,171,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,SSD + HDD,1280,15.6,2.43,68200,40
AVI-A8VBN,172,Intel Celeron Dual-Core,UHD 600,0,4,SSD,128,14.1,1.51,15990,33
ASU-LOWS7,173,Intel Core i3 (10th Gen),UHD,0,8,HDD,1024,15.6,1.73,39990,10
ASU-IU3KJ,174,Intel Core i5 (11th Gen),Iris Xe,0,8,SSD + HDD,1280,14.0,1.43,57099,12
MSI-7R5Z5,175,Intel Core i5 (12th Gen),Iris Xe,0,16,SSD,512,14.0,1.64,42990,44
4X7D7PA,176,Intel Core i5 (11th Gen),Iris Xe,0,8,SSD,512,14.0,1.6,59990,47
82K10198IN,18,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,SSD,512,15.6,2.66,48411,30
ASU-J8A9W,177,Intel Core i5 (12th Gen),"GeForce RTX 3050 GPU, 4 GB",4,16,SSD,512,16.0,3.05,74500,14
AVI-UK0QD,178,Intel Celeron Dual-Core,Integrated,0,4,SSD,128,14.1,1.62,20990,50
ACE-FEQ3P,158,Intel Core i5 (12th Gen),"Geforce RTX 3050 GPU, 4 GB",4,8,SSD,512,15.6,2.26,68990,14
MSI-QZF7I,179,Intel Core i7 (11th Gen),"GeForce GTX 1650 MAX Q GPU, 4 GB",4,8,SSD,512,15.6,2.39,71490,16
546K3PA,180,Intel Core i3 (11th Gen),UHD,0,8,SSD,512,15.6,1.73,35500,5
ACE-SWRBG,158,Intel Core i5 (12th Gen),"GeForce RTX 3050 GPU, 4 GB",4,16,SSD,512,15.6,2.3,64990,50
MSI-447Y9,181,Intel Core i5 (10th Gen),"GeForce RTX 3060 GPU, 6 GB",6,16,SSD,512,15.6,2.56,69990,29
ASU-IC33D,182,Intel Core i5 (11th Gen),Iris Xe,0,8,HDD,1024,15.6,1.78,51790,23
MSI-WANY3,183,Intel Core i7 (10th Gen) Processor,"GeForce RTX 3050 GPU, 4 GB",4,16,SSD,512,15.6,2.51,63563,33
82RK00VWIN,114,Intel Core i3 (12th Gen),UHD,0,8,SSD,512,15.6,1.65,36300,8
67U20PA,184,AMD Hexa-Core Ryzen 5,Radeon,0,8,SSD,512,15.6,1.92,55490,4
ACE-QZQAM,20,Intel Core i3 (12th Gen),UHD,0,8,SSD,512,15.6,1.66,31990,15
D560865WIN9B,69,Intel Core i5 (12th Gen),Integrated,0,8,SSD,512,15.6,1.87,45990,34
TEC-YMH08,16,Intel Core i3 (11th Gen),Iris Xe,0,8,SSD,512,15.6,1.76,37999,26
ZEB-KIFHL,185,Intel Core i5 (11th Gen),Iris Xe,0,16,SSD,512,15.6,1.79,29990,47
82LN00A3IN,186,AMD Octa-Core Ryzen 7,Radeon,0,16,SSD,512,15.6,1.6,52100,27
82H800U5IN,21,Intel Core i3 (11th Gen),UHD,0,8,SSD,512,15.6,1.86,35990,50
NOBELM-WDQ9BHNE,187,AMD Hexa-Core Ryzen 5,Radeon,0,8,SSD,512,14.0,1.39,41990,32
APP-OM71Y,188,Apple M2 Processor,M2,0,8,SSD,512,13.3,1.61,149900,49
8U6Z8PA,189,Intel Core i5 (12th Gen),"GeForce RTX 2050 GPU, 4 GB",4,8,SSD,512,15.6,2.45,59490,9
82KDA01BIH,190,AMD Quad-Core Ryzen 3,Radeon,0,8,SSD,512,15.6,1.65,27490,36
ZEB-DWD41,185,Intel Core i5 (11th Gen),Iris Xe,0,8,SSD,512,15.6,1.72,28990,50
