SKU_ID,ProductID,CPU,GPU,VRAM,RAM,Storage,StorageCapacity,ScreenSize,Weight,Price,Stock
TEC-1I9QD,16,Intel Core i5 (11th Gen),Iris Xe,0,16,512 GB SSD Storage,512,15.6,1.63,47999,27
ACE-7CJBV,17,Intel Core i5 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",6,16,512 GB SSD Storage,512,15.6,2.4,77860,36
82K101PCIN,18,Intel Core i5 (11th Gen),"GeForce RTX 2050 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.24,49900,15
8Y2S3PA,19,Intel Core i5 (12th Gen),Iris Xe,0,16,1024 GB SSD Storage,1024,14.0,1.46,69999,10
ACE-DYZTG,20,Intel Core i5 (12th Gen),Iris Xe,0,8,512 GB SSD Storage,512,15.6,1.75,36990,10
82H801L7IN,21,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage,512,15.6,1.89,33900,14
6Y6R8PA,22,AMD Octa-Core Ryzen 7,Radeon,0,16,512 GB SSD Storage,512,14.0,1.61,60990,39
82H803LKIN,23,Intel Core i5 (11th Gen),Iris Xe,0,16,512 GB SSD Storage,512,15.6,1.65,40990,48
XIA-0NODQ,24,Intel Core i3 (11th Gen),UHD,0,8,256 GB SSD Storage,256,15.6,1.65,31490,14
83DA0049IN,25,Intel Core Ultra 5,Arc,0,16,1024 GB SSD Storage,1024,14.0,1.56,80990,42
82K101GSIN,18,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.48,50990,32
ASU-34PXW,26,Intel Core i5 (11th Gen),"GeForce RTX 2050 GPU, 4 GB",4,8,512 GB SSD Storage,512,17.3,2.29,57990,11
637S3PA,27,Intel Celeron Dual-Core,UHD,0,8,256 GB SSD Storage,256,14.0,1.59,25449,6
7L030PA,28,AMD Quad-Core Ryzen 3,Radeon,0,8,512 GB SSD Storage,512,15.6,1.68,36990,28
82BA001PHA,29,Intel Celeron Dual-Core,UHD,0,4,64 GB SSD Storage,64,11.6,1.08,18999,14
ACE-73CE5,30,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.22,48990,43
ASU-4X5ZQ,31,Intel Core i5 (11th Gen),Iris Xe,0,16,256 GB SSD Storage + 1024 GB HDD Storage,1280,15.6,1.88,47990,1
ACE-YXC2H,32,AMD Dual-Core Ryzen 3,Radeon,0,8,256 GB SSD Storage,256,14.0,1.58,28990,26
689T3PA,33,AMD Dual-Core Ryzen 3,Radeon,0,8,512 GB SSD Storage,512,14.0,1.53,26990,23
D560656WIN9S,34,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage,512,15.6,1.69,39250,26
3Y0H4PA,35,Intel Celeron Dual-Core,UHD,0,8,256 GB SSD Storage,256,14.0,1.44,27875,36
ASU-TH7T2,36,Intel Celeron Dual-Core,UHD,0,4,128 GB SSD Storage,128,11.6,1.17,24999,41
MSI-T1XTQ,37,Intel Core i5 (11th Gen),"GeForce RTX 3050 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.14,56990,12
ASU-MWAF1,38,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.29,51160,1
ACE-DD7CK,39,Intel Core i3 (12th Gen),UHD,0,8,512 GB SSD Storage,512,15.6,1.73,35199,9
ACE-37W8G,40,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage,512,15.6,1.66,32990,36
ACE-M2IYQ,41,Intel Pentium Quad-Core,UHD 605,0,4,256 GB SSD Storage,256,15.6,1.63,23999,46
ASU-X7Y0S,42,Intel Core i5 (13th Gen),Iris Xe,0,16,512 GB SSD Storage,512,15.6,1.68,64990,29
82K201UMIN,43,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 GPU, 4 GB",4,16,512 GB SSD Storage,512,15.6,2.74,72990,7
ASU-P5DO0,44,Intel Core i9 (12th Gen),Iris Xe,0,32,1024 GB SSD Storage,1024,14.0,1.06,169990,48
5R7P5PA,45,Intel Core i3 (11th Gen) Processor,UHD,0,8,512 GB SSD Storage,512,15.6,1.67,49999,31
HP-YWXZV,46,Intel Core i5 (12th Gen),Iris Xe,0,16,512 GB SSD Storage,512,14.0,1.36,54990,44
ASU-PRXYY,47,AMD Octa-Core Ryzen 7,"GeForce RTX 3060 GPU, 6 GB",6,16,1024 GB SSD Storage,1024,15.6,2.29,96990,49
ASU-H4UJW,48,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage,512,14.0,1.4,36999,2
D560818WIN9B,49,AMD Hexa-Core Ryzen 5,"GeForce RTX 3050 GPU, 4 GB",4,16,512 GB SSD Storage,512,15.6,2.18,89500,20
SAM-R50AV,50,Intel Core i5 (12th Gen),Iris Xe,0,16,512 GB SSD Storage,512,13.3,1.17,72990,36
82H801L3IN,21,Intel Core i3 (11th Gen) Processor,UHD,0,8,256 GB SSD Storage,256,15.6,1.87,34990,2
ACE-2Q0F8,51,Intel Core i9 (11th Gen),"GeForce RTX 3060 GPU, 6 GB",6,16,1024 GB SSD Storage,1024,15.6,2.6,129990,6
MSI-V4U3Z,52,Intel Core i7 (10th Gen),"GeForce GTX 1650 Max Q GPU, 4 GB",4,8,256 GB SSD Storage + 1024 GB HDD Storage,1280,15.6,2.59,65999,27
D560594WIN9S,53,Intel Core i5 (11th Gen),Iris Xe,0,8,512 GB SSD Storage,512,14.0,1.64,76900,31
ASU-JHJA2,54,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.33,50990,43
ASU-0NJ2L,55,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 Ti GPU, 4 GB",4,16,512 GB SSD Storage,512,15.6,2.27,141990,49
ASU-5H830,56,AMD Dual-Core Ryzen 3,Integrated,0,8,256 GB SSD Storage,256,15.6,1.74,59999,16
ASU-X9F79,57,Intel Core i3 (10th Gen),UHD,0,8,512 GB SSD Storage,512,15.6,1.66,32990,45
INF-AKO3Y,58,Intel Core i7 (13th Gen),Iris Xe,0,16,512 GB SSD Storage,512,15.6,1.79,49990,11
82AU00KLIN,59,Intel Core i5 (10th Gen),"Geforce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.41,53535,6
6Q0M8PA,60,AMD Dual-Core Ryzen 3,Radeon,0,8,512 GB SSD Storage,512,15.6,1.7,37990,7
681Y5PA,61,Intel Celeron Dual-Core,UHD,0,8,256 GB SSD Storage,256,14.0,1.53,28990,15
ASU-TPPJG,62,AMD Dual-Core Ryzen 3,Radeon Vega 3,0,8,512 GB SSD Storage,512,15.6,1.73,41990,2
ACE-PKRTD,63,Intel Core i5 (12th Gen),"GeForce RTX 2050 GPU, 4 GB",4,16,512 GB SSD Storage,512,15.6,2.66,55500,36
ASU-EB0YQ,64,Intel Core i3 (12th Gen),UHD Graphics,0,8,512 GB SSD Storage,512,15.6,1.69,59800,9
D560841WIN9S,34,Intel Core i3 (11th Gen) Processor,Integrated,0,8,256 GB SSD Storage + 1024 GB HDD Storage,1280,15.6,1.82,42399,8
82HS00W2IN,65,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage,512,14.0,1.62,56999,34
ACE-O16C4,66,Intel Core i3 (12th Gen) Processor,UHD,0,8,256 GB SSD Storage,256,15.6,1.88,31490,5
ACE-Y69JO,67,AMD Quad-Core Ryzen 5,Radeon,0,8,512 GB SSD Storage,512,15.6,1.75,32990,21
ASU-QDTJF,68,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 GPU, 4 GB",4,16,512 GB SSD Storage,512,17.3,2.32,77990,6
D560869WIN9B,69,Intel Core i3 (12th Gen),Integrated,0,8,256 GB SSD Storage,256,15.6,1.75,33990,8
D560819WIN9B,49,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 GPU, 4 GB",4,16,512 GB SSD Storage,512,15.6,2.73,79990,31
ASU-WIB1X,70,AMD Hexa-Core Ryzen 5,Radeon,0,16,512 GB SSD Storage,512,14.0,1.07,91990,22
ACE-6HX9V,67,AMD Quad-Core Ryzen 3,Radeon,0,8,512 GB SSD Storage,512,15.6,1.82,30990,50
6F9T9PA,71,AMD Hexa-Core Ryzen 5,"GeForce RTX 3050 Ti GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.3,64551,15
INF-T5WOP,72,Intel Core i3 (10th Gen),"UHD GPU, 128 MB",0,8,512 GB SSD Storage,512,14.0,1.49,27990,3
ACE-QRKK4,73,Intel Core i5 (11th Gen),Iris Xe,0,8,512 GB SSD Storage,512,14.0,1.03,71480,29
APP-98I13,74,Apple M1,M1,0,8,256 GB SSD Storage,256,13.3,1.33,90900,2
REA-BBHC4,75,Intel Core i3 (11th Gen),UHD,0,8,256 GB SSD Storage,256,14.0,1.37,42999,28
APP-767JE,76,Intel Core i5 (5th Gen),HD 6000,0,8,128 GB SSD Storage,128,13.3,1.27,67990,37
494P2PA,77,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage,512,16.1,3.09,62112,30
ASU-NLRFQ,78,Intel Core i5 (12th Gen),"GeForce RTX 2050 GPU, 4 GB",4,8,512 GB SSD Storage,512,16.0,2.58,57990,36
ASU-82B4H,79,Intel Celeron Dual-Core,UHD 600,0,4,NO SSD + 1024 GB HDD Storage,1024,15.6,1.9,23804,8
3E3R5PA,80,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.2,56990,45
6N024PA,81,Intel Core i3 (11th Gen),UHD,0,8,256 GB SSD Storage,256,14.0,1.31,33990,33
ASU-1B4T9,82,Intel Core i3 (10th Gen),UHD,0,8,512 GB SSD Storage,512,15.6,1.73,35990,8
6N049PA,83,Intel Core i3 (11th Gen),Integrated,0,8,512 GB SSD Storage,512,15.6,1.73,37023,34
ACE-J4GLA,84,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.3,49500,28
ASU-O56M3,85,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage,512,15.6,1.66,33990,14
35K35PA,86,AMD Dual-Core Ryzen 3,Radeon Vega 6,0,8,256 GB SSD Storage + 1024 GB HDD Storage,1280,15.6,1.66,36990,28
ASU-HU5Z7,87,Intel Core i5 (11th Gen),Iris Xe,0,8,512 GB SSD Storage,512,15.6,1.66,41999,49
ASU-04M41,88,Intel Core i5 (11th Gen),Iris Xe,0,16,512 GB SSD Storage,512,14.0,1.44,46990,1
ASU-23PSQ,89,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.28,50990,47
APP-PWO94,90,Apple M2 Processor,M2 Integrated,0,8,256 GB SSD Storage,256,13.6,1.29,92990,5
50M63PA,91,AMD Hexa-Core Ryzen 5,Radeon,0,8,512 GB SSD Storage,512,15.6,1.67,36499,48
ACE-KZXJ6,30,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.51,49490,18
ACE-VJNWZ,30,AMD Hexa-Core Ryzen 5 Processor,"GeForce GTX 1650 GPU, 4 GB",4,16,512 GB SSD Storage,512,15.6,2.13,56990,23
ACE-TB3XG,30,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.41,49490,2
ASU-31Z34,92,Intel Core i5 (10th Gen),UHD,0,8,512 GB SSD Storage,512,15.6,1.74,44990,49
81X800N2IN,93,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage,512,15.6,1.85,33900,21
50M62PA,94,AMD Quad-Core Ryzen 3,Radeon,0,8,512 GB SSD Storage,512,15.6,1.7,30990,3
50M59PA,95,AMD Quad-Core Ryzen 3,Radeon,0,8,512 GB SSD Storage,512,14.0,1.53,33978,6
81H7001WIN,96,Intel Core i3 (7th Gen),HD 620,0,4,NO SSD + 1024 GB HDD Storage,1024,15.6,1.76,36370,17
XIA-QQOFM,97,Intel Core i5 (11th Gen),Iris Xe,0,8,512 GB SSD Storage,512,15.6,1.84,39990,49
81X800J3IN,98,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage,512,15.6,1.62,40990,6
81DE01MJIN,99,Intel Core i5 (8th Gen),"Geforce MX150 GPU, 2 GB",2,8,NO SSD + 1024 GB HDD Storage,1024,15.6,1.64,32927,23
ASU-TF7U9,100,Intel Core i5 (10th Gen),UHD,0,8,512 GB SSD Storage,512,15.6,1.7,48188,37
AVI-TH919,101,AMD Quad-Core Ryzen 5,Radeon Vega 8,0,8,512 GB SSD Storage,512,14.0,1.5,51490,15
ACE-73GXI,6,Intel Core i3 (11th Gen),Integrated,0,8,256 GB SSD Storage,256,14.0,1.6,26999,1
INF-ZV9T2,102,Intel Core i3 (10th Gen),UHD,0,8,256 GB SSD Storage,256,14.0,1.48,29990,15
82H802XXIN,103,Intel Core i5 (11th Gen),Iris Xe,0,16,512 GB SSD Storage,512,15.6,1.69,50990,9
ACE-6EQ91,6,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage,512,14.0,1.55,27990,45
360L7PA,104,Intel Pentium Dual-Core,UHD,0,8,NO SSD + 1024 GB HDD Storage,1024,15.6,1.7,40550,25
82H803HQIN,23,Intel Core i5 (11th Gen),Iris Xe,0,8,512 GB SSD Storage,512,15.6,1.61,40990,44
82H802KVIN,2,Intel Core i5 (11th Gen),Integrated,0,8,512 GB SSD Storage,512,15.6,1.62,54990,7
MSI-KOT6A,105,Intel Core i5 (9th Gen),"Geforce GTX 1650 Max-Q GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.26,57999,28
546K2PA,106,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage,512,14.0,1.41,45890,1
82K101LGIN,18,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.65,53000,40
ASU-YMS12,107,Intel Core i5 (10th Gen),"GeForce GTX 1650 Ti GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.29,55990,14
9D3M7PA,108,Intel Core i3 (12th Gen),UHD,0,8,512 GB SSD Storage,512,14.0,1.54,41490,1
82K101B6IN,109,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.33,53000,23
82R400ERIN,110,AMD Hexa-Core Ryzen 5,Radeon,0,16,512 GB SSD Storage,512,15.6,1.88,38990,6
INF-T1PJJ,111,Intel Core i3 (10th Gen),UHD,0,8,512 GB SSD Storage,512,15.6,1.9,32990,23
4R8B8PA,112,AMD Dual-Core Ryzen 3,Radeon,0,8,256 GB SSD Storage,256,15.6,1.69,37890,16
6Q0N0PA,113,AMD Dual-Core Ryzen 3,Radeon,0,8,256 GB SSD Storage,256,15.6,1.68,27990,25
81WB0193IN,114,Intel Core i3 (10th Gen),UHD,0,8,256 GB SSD Storage,256,15.6,1.62,34690,40
ASU-ZNVC8,115,Intel Core i5 (12th Gen),Iris Xe,0,16,512 GB SSD Storage,512,14.0,1.49,61990,25
XIA-AYT0D,116,Intel Core i5 (11th Gen) Processor,Iris Xe,0,16,512 GB SSD Storage,512,15.6,1.8,63976,35
D560860WIN9BE,34,Intel Core i3 (11th Gen),UHD,0,8,256 GB SSD Storage + 1024 GB HDD Storage,1280,15.6,1.71,34499,49
6D9T7PA,117,AMD Hexa-Core Ryzen 5,Radeon,0,16,512 GB SSD Storage,512,14.0,1.6,66596,4
5S7P8PA,118,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage,512,15.6,1.69,37099,30
440L6PA,119,AMD Quad-Core Ryzen 5,Radeon Vega 8,0,8,512 GB SSD Storage,512,15.6,1.71,41999,8
AVI-7N6AJ,120,AMD Quad-Core Ryzen 5,Radeon RX Vega 10,0,8,512 GB SSD Storage,512,14.0,1.55,42492,50
689H4PA,121,AMD Hexa-Core Ryzen 5,Radeon,0,8,512 GB SSD Storage,512,14.0,1.62,54490,3
81X800LCIN,2,Intel Core i3 (11th Gen),UHD,0,8,256 GB SSD Storage,256,15.6,1.65,32500,23
ASU-GG9FV,122,Intel Core i3 (11th Gen),UHD,0,4,256 GB SSD Storage,256,15.6,1.71,30900,25
6Z2P5PA,123,Intel Core i5 (12th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.26,60999,5
38Y95PA,124,Intel Core i3 (11th Gen) Processor,UHD,0,8,256 GB SSD Storage,256,14.0,1.35,39646,8
ASU-CT4C2,125,AMD Quad-Core Ryzen 3,Radeon,0,8,512 GB SSD Storage,512,15.6,1.74,37990,2
80S700DRIH,126,Intel Core i3 (6th Gen),HD 520,0,4,NO SSD + 1024 GB HDD Storage,1024,14.0,1.45,40940,25
ASU-ZTFMC,127,AMD Octa-Core Ryzen 7,Radeon,0,16,512 GB SSD Storage,512,15.6,1.89,61899,27
82RK0062IN,128,Intel Core i5 (12th Gen),Iris Xe,0,8,512 GB SSD Storage,512,15.6,1.65,46990,25
ASU-TE5YM,129,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 GPU, 4 GB",4,16,512 GB SSD Storage,512,17.3,2.87,67990,34
3V2N1PA,130,Intel Core i5 (11th Gen) Processor,Iris Xe,0,8,512 GB SSD Storage,512,15.6,1.66,50299,11
82RK0085IN,114,Intel Core i5 (12th Gen),Iris Xe,0,16,512 GB SSD Storage,512,15.6,1.66,57990,38
ASU-W1JKC,131,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.35,55990,41
INF-OU05Q,102,Intel Core i5 (10th Gen),UHD,0,8,512 GB SSD Storage,512,14.0,1.41,47999,4
81X700CWIN,132,Intel Core i3 (11th Gen),UHD,0,8,256 GB SSD Storage,256,14.0,1.33,36890,4
2R2H3PA,133,Intel Core i3 (11th Gen),UHD,0,8,256 GB SSD Storage,256,14.0,1.64,52185,47
18N71PA,134,Intel Celeron Dual-Core,UHD 600,0,4,NO SSD + 1024 GB HDD Storage,1024,15.6,1.7,22071,28
82H701DNIN,114,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage,512,14.0,1.65,39900,43
4N0W7PA,135,AMD Hexa-Core Ryzen 5,"Radeon RX 5500M GPU, 4 GB",4,8,512 GB SSD Storage,512,16.1,2.43,53999,21
D560801WIN9B,34,Intel Core i3 (11th Gen) Processor,UHD Graphics,0,8,512 GB SSD Storage,512,15.6,1.91,37990,20
ACE-U1LG7,136,Intel Core i5 (12th Gen),"GeForce RTX 2050 GPU, 4 GB",4,16,512 GB SSD Storage,512,15.6,2.59,49990,16
3V6P4PA,137,AMD Quad-Core Ryzen 3,Radeon,0,8,512 GB SSD Storage,512,14.0,1.34,43999,5
81X800LAIN,114,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage,512,15.6,1.6,39448,32
ACE-GQC1D,136,Intel Core i5 (12th Gen),"GeForce RTX 2050 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.37,48990,20
APP-HS8A3,138,2.3 Ghz Processor,M1,0,16,1024 GB SSD Storage,1024,14.2,1.62,219990,44
546K8PA,139,Intel Core i5 (11th Gen),Iris Xe,0,8,512 GB SSD Storage,512,15.6,1.67,59800,19
82H801FKIN,2,Intel Core i3 (11th Gen),UHD,0,8,512 GB SSD Storage,512,15.6,1.62,35100,19
300J2PA,140,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.39,56064,18
D560896WIN9B,69,Intel Core i3 (12th Gen),UHD,0,8,512 GB SSD Storage,512,15.6,1.92,36990,22
ACE-P7FO8,136,Intel Core i5 (12th Gen),"GeForce GTX 3050 GPU, 4 GB",4,16,512 GB SSD Storage,512,15.6,2.31,57990,17
82FG0125IN,141,Intel Core i5 (11th Gen) Processor,Iris Xe,0,16,512 GB SSD Storage,512,15.6,1.64,58790,29
ACE-9E0TX,136,Intel Core i5 (12th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.32,53890,32
82VG00EQIN,142,AMD Dual-Core Athlon,Radeon 610M,0,8,512 GB SSD Storage,512,15.6,1.61,28990,31
637X2PA,143,Intel Core i5 (11th Gen),Iris Xe,0,8,512 GB SSD Storage,512,15.6,1.7,51490,48
5R7P3PA,144,Intel Core i3 (11th Gen) Processor,UHD,0,8,512 GB SSD Storage,512,15.6,1.69,38500,42
2N1L4PA,145,Intel Core i7 (11th Gen),Iris Xe,0,16,1024 GB SSD Storage,1024,14.0,1.58,76999,10
D560766WIN9BE,146,AMD Dual-Core Athlon,Radeon,0,8,256 GB SSD Storage,256,15.6,1.87,31990,47
MSI-ZDJ6S,147,AMD Octa-Core Ryzen 7,"Radeon RX6500M GPU, 4 GB",4,16,512 GB SSD Storage,512,15.6,1.65,61990,28
MSI-E0UX7,148,Intel Core i5 (11th Gen),"GeForce GTX 1650 MAX Q GPU, 4 GB",4,8,512 GB SSD Storage,512,15.6,2.56,47769,8
ACE-NCHJ5,63,Intel Core i5 (12th Gen),GeForce RTX 2050,0,8,512 GB SSD Storage,512,15.6,2.62,62990,15
ASU-H4530,149,Intel Celeron Dual-Core,HD 500,0,4,64 GB SSD Storage,64,14.0,1.45,18990,2
ACE-Y4LRR,150,Intel Core i3 (10th Gen),UHD,0,4,512 GB SSD Storage,512,14.0,1.43,27775,34
ACE-P8NV4,151,Intel Core i3 (8th Gen),UHD 620,0,4,NO SSD + 1024 GB HDD Storage,1024,15.6,1.71,30360,21
81WB010XIN,152,Intel Core i3 (10th Gen),UHD,0,4,256 GB SSD Storage,256,15.6,1.61,34990,8
81WH007KIN,153,Intel Celeron Dual-Core,Integrated,0,4,256 GB SSD Storage,256,14.0,1.48,25200,5
695R9PA,154,Intel Core i5 (12th Gen),Iris Xe,0,8,512 GB SSD Storage,512,14.0,1.46,54999,6
INF-QIOXV,72,Intel Core i5 (10th Gen),"UHD GPU, 128 MB",0,8,512 GB SSD Storage,512,14.0,1.46,33390,16
82K2025LIN,43,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",4,16,512 GB SSD Storage,512,15.6,2.04,72000,45
6K7V7PA,155,AMD Hexa-Core Ryzen 5,Radeon Graphics,0,16,512 GB SSD Storage,512,14.0,1.42,50568,23
D560573WIN9BE,34,Intel Core i3 (10th Gen),UHD,0,8,256 GB SSD Storage + 1024 GB HDD Storage,1280,15.6,1.65,35999,26
ICC-D585041WIN8,156,Intel Core i3 (10th Gen),UHD,0,8,256 GB SSD Storage + 1024 GB HDD Storage,1280,15.6,1.92,44350,27
82V6006EIN,157,Intel Celeron Dual-Core,UHD,0,8,256 GB SSD Storage,256,14.0,1.39,25490,24
ACE-4AIHL,158,Intel Core i7 (12th Gen),"GeForce RTX 3070 Ti GPU, 8 GB",8,16,1024 GB SSD Storage,1024,15.6,2.29,102990,43
6K9C6PA,159,Intel Core i5 (12th Gen),Iris Xe,0,8,512 GB SSD Storage,512,14.0,1.41,62490,13
ASU-Y2SVM,160,Intel Celeron Dual-Core,UHD,0,4,128 GB SSD Storage,128,15.6,1.83,17990,30
7K4X0PA,161,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,512 GB SSD Storage,512,16.1,2.72,55400,45
82YU00W7IN,162,AMD Quad-Core Ryzen 3,Radeon,0,8,512 GB SSD Storage,512,15.6,1.69,27990,25
81Y401ANIN,163,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,256 GB SSD Storage + 1024 GB HDD Storage,1280,15.6,2.14,60990,12
7K4X1PA,164,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",4,16,512 GB SSD Storage,512,16.1,2.6,60900,49
8H968PA,165,AMD Hexa-Core Ryzen 5,Radeon,0,16,512 GB SSD Storage,512,15.6,1.71,44800,30
8H969PA,166,AMD Octa-Core Ryzen 7,Radeon,0,16,512 GB SSD Storage,512,15.6,1.7,48990,46
MSI-EF1EL,167,Intel Core i7 (7th Gen),"GeForce GTX 1050 GPU, 4 GB",4,8,NO SSD + 1024 GB HDD Storage,1024,15.6,2.57,67990,21
ACE-DSSQ7,168,AMD Dual-Core Athlon,Radeon,0,4,256 GB SSD Storage,256,14.0,1.57,22899,27
ASU-9Q0C5,169,AMD Octa-Core Ryzen 7,Radeon,0,16,512 GB SSD Storage,512,16.0,2.42,58990,32
ACE-RNVQB,12,Intel Core i7 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",6,16,512 GB SSD Storage,512,16.0,2.94,120980,39
67U22PA,170,Intel Core i5 (12th Gen),Iris Xe,0,8,512 GB SSD Storage,512,15.6,1.6,74250,40
48U95PA,171,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",4,8,256 GB SSD Storage + 1024 GB HDD Storage,1280,15.6,2.47,68200,27
AVI-9G3JU,172,Intel Celeron Dual-Core,UHD 600,0,4,128 GB SSD Storage,128,14.1,1.45,15990,39
