SKU_ID,ProductID,CPU,GPU,RAM,Storage,ScreenSize,Weight,Price,Stock
82K101PCIN,18,Intel Core i5 (11th Gen),"GeForce RTX 2050 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.63,49900,20
8Y2S3PA,19,Intel Core i5 (12th Gen),Iris Xe,16,1024 GB SSD Storage,14.0,1.64,69999,40
ACE-ADEC,20,Intel Core i5 (12th Gen),Iris Xe,8,512 GB SSD Storage,15.6,1.81,36990,44
82H801L7IN,21,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.74,33900,21
6Y6R8PA,22,AMD Octa-Core Ryzen 7,Radeon,16,512 GB SSD Storage,14.0,1.61,60990,4
82H803LKIN,23,Intel Core i5 (11th Gen),Iris Xe,16,512 GB SSD Storage,15.6,1.76,40990,36
XIA-IIDT,24,Intel Core i3 (11th Gen),UHD,8,256 GB SSD Storage,15.6,1.62,31490,2
83DA0049IN,25,Intel Core Ultra 5,Arc,16,1024 GB SSD Storage,14.0,1.42,80990,27
82K101GSIN,18,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.08,50990,43
ASU-7UKA,26,Intel Core i5 (11th Gen),"GeForce RTX 2050 GPU, 4 GB",8,512 GB SSD Storage,17.3,3.71,57990,3
637S3PA,27,Intel Celeron Dual-Core,UHD,8,256 GB SSD Storage,14.0,1.5,25449,16
7L030PA,28,AMD Quad-Core Ryzen 3,Radeon,8,512 GB SSD Storage,15.6,1.94,36990,37
82BA001PHA,29,Intel Celeron Dual-Core,UHD,4,64 GB SSD Storage,11.6,1.27,18999,47
ACE-73KX,30,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.61,48990,10
ASU-6RRB,31,Intel Core i5 (11th Gen),Iris Xe,16,256 GB SSD Storage + 1024 GB HDD Storage,15.6,1.65,47990,18
ACE-Z6N7,32,AMD Dual-Core Ryzen 3,Radeon,8,256 GB SSD Storage,14.0,1.45,28990,46
689T3PA,33,AMD Dual-Core Ryzen 3,Radeon,8,512 GB SSD Storage,14.0,1.46,26990,24
D560656WIN9S,34,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.85,39250,41
3Y0H4PA,35,Intel Celeron Dual-Core,UHD,8,256 GB SSD Storage,14.0,1.49,27875,47
ASU-J2SP,36,Intel Celeron Dual-Core,UHD,4,128 GB SSD Storage,11.6,1.26,24999,42
MSI-WFNE,37,Intel Core i5 (11th Gen),"GeForce RTX 3050 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.74,56990,31
ASU-WC6C,38,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.68,51160,25
ACE-0N58,39,Intel Core i3 (12th Gen),UHD,8,512 GB SSD Storage,15.6,1.74,35199,34
ACE-YTLR,40,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.93,32990,22
ACE-W78Z,41,Intel Pentium Quad-Core,UHD 605,4,256 GB SSD Storage,15.6,1.62,23999,25
ASU-K06E,42,Intel Core i5 (13th Gen),Iris Xe,16,512 GB SSD Storage,15.6,1.85,64990,27
82K201UMIN,43,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.73,72990,5
ASU-X04B,44,Intel Core i9 (12th Gen),Iris Xe,32,1024 GB SSD Storage,14.0,1.36,169990,34
5R7P5PA,45,Intel Core i3 (11th Gen) Processor,UHD,8,512 GB SSD Storage,15.6,1.63,49999,20
HP-2X9E,46,Intel Core i5 (12th Gen),Iris Xe,16,512 GB SSD Storage,14.0,1.45,54990,15
ASU-UMVN,47,AMD Octa-Core Ryzen 7,"GeForce RTX 3060 GPU, 6 GB",16,1024 GB SSD Storage,15.6,2.1,96990,3
ASU-9IMB,48,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,14.0,1.31,36999,27
D560818WIN9B,49,AMD Hexa-Core Ryzen 5,"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.59,89500,41
SAM-PD9L,50,Intel Core i5 (12th Gen),Iris Xe,16,512 GB SSD Storage,13.3,1.26,72990,26
82H801L3IN,21,Intel Core i3 (11th Gen) Processor,UHD,8,256 GB SSD Storage,15.6,1.91,34990,25
ACE-408C,51,Intel Core i9 (11th Gen),"GeForce RTX 3060 GPU, 6 GB",16,1024 GB SSD Storage,15.6,2.72,129990,36
MSI-JLY7,52,Intel Core i7 (10th Gen),"GeForce GTX 1650 Max Q GPU, 4 GB",8,256 GB SSD Storage + 1024 GB HDD Storage,15.6,2.63,65999,3
D560594WIN9S,53,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,14.0,1.58,76900,4
ASU-NSAF,54,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.18,50990,42
ASU-9UMP,55,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 Ti GPU, 4 GB",16,512 GB SSD Storage,15.6,2.01,141990,5
ASU-DBY9,56,AMD Dual-Core Ryzen 3,Integrated,8,256 GB SSD Storage,15.6,1.78,59999,23
ASU-WIIG,57,Intel Core i3 (10th Gen),UHD,8,512 GB SSD Storage,15.6,1.89,32990,23
INF-ER22,58,Intel Core i7 (13th Gen),Iris Xe,16,512 GB SSD Storage,15.6,1.85,49990,12
82AU00KLIN,59,Intel Core i5 (10th Gen),"Geforce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.6,53535,17
6Q0M8PA,60,AMD Dual-Core Ryzen 3,Radeon,8,512 GB SSD Storage,15.6,1.7,37990,30
681Y5PA,61,Intel Celeron Dual-Core,UHD,8,256 GB SSD Storage,14.0,1.45,28990,48
ASU-ATJ2,62,AMD Dual-Core Ryzen 3,Radeon Vega 3,8,512 GB SSD Storage,15.6,1.77,41990,47
ACE-PI58,63,Intel Core i5 (12th Gen),"GeForce RTX 2050 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.04,55500,12
ASU-DN7I,64,Intel Core i3 (12th Gen),UHD Graphics,8,512 GB SSD Storage,15.6,1.85,59800,6
D560841WIN9S,34,Intel Core i3 (11th Gen) Processor,Integrated,8,256 GB SSD Storage + 1024 GB HDD Storage,15.6,1.63,42399,24
82HS00W2IN,65,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,14.0,1.48,56999,1
ACE-NG1Y,66,Intel Core i3 (12th Gen) Processor,UHD,8,256 GB SSD Storage,15.6,1.9,31490,21
ACE-FYFI,67,AMD Quad-Core Ryzen 5,Radeon,8,512 GB SSD Storage,15.6,1.61,32990,29
ASU-A7QU,68,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,17.3,3.74,77990,22
D560869WIN9B,69,Intel Core i3 (12th Gen),Integrated,8,256 GB SSD Storage,15.6,1.8,33990,16
D560819WIN9B,49,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.63,79990,21
ASU-MP5Q,70,AMD Hexa-Core Ryzen 5,Radeon,16,512 GB SSD Storage,14.0,1.44,91990,36
ACE-BG2A,67,AMD Quad-Core Ryzen 3,Radeon,8,512 GB SSD Storage,15.6,1.68,30990,32
6F9T9PA,71,AMD Hexa-Core Ryzen 5,"GeForce RTX 3050 Ti GPU, 4 GB",8,512 GB SSD Storage,15.6,2.45,64551,25
INF-F76Q,72,Intel Core i3 (10th Gen),"UHD GPU, 128 MB",8,512 GB SSD Storage,14.0,1.45,27990,49
ACE-ZPO0,73,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,14.0,1.57,71480,36
APP-6UPF,74,Apple M1,M1,8,256 GB SSD Storage,13.3,1.24,90900,38
REA-ARZV,75,Intel Core i3 (11th Gen),UHD,8,256 GB SSD Storage,14.0,1.43,42999,18
APP-1S0W,76,Intel Core i5 (5th Gen),HD 6000,8,128 GB SSD Storage,13.3,1.16,67990,21
494P2PA,77,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,16.1,3.06,62112,21
ASU-X5QE,78,Intel Core i5 (12th Gen),"GeForce RTX 2050 GPU, 4 GB",8,512 GB SSD Storage,16.0,2.98,57990,26
ASU-P2HH,79,Intel Celeron Dual-Core,UHD 600,4,NO SSD + 1024 GB HDD Storage,15.6,1.87,23804,19
3E3R5PA,80,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.15,56990,4
6N024PA,81,Intel Core i3 (11th Gen),UHD,8,256 GB SSD Storage,14.0,1.48,33990,7
ASU-DR3D,82,Intel Core i3 (10th Gen),UHD,8,512 GB SSD Storage,15.6,1.71,35990,45
6N049PA,83,Intel Core i3 (11th Gen),Integrated,8,512 GB SSD Storage,15.6,1.71,37023,22
ACE-4A26,84,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.19,49500,27
ASU-Q0BI,85,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.89,33990,14
35K35PA,86,AMD Dual-Core Ryzen 3,Radeon Vega 6,8,256 GB SSD Storage + 1024 GB HDD Storage,15.6,1.69,36990,50
ASU-ILXL,87,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,15.6,1.92,41999,6
ASU-VTFG,88,Intel Core i5 (11th Gen),Iris Xe,16,512 GB SSD Storage,14.0,1.35,46990,10
ASU-E9VF,89,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.19,50990,25
APP-4MPD,90,Apple M2 Processor,M2 Integrated,8,256 GB SSD Storage,13.6,1.35,92990,41
50M63PA,91,AMD Hexa-Core Ryzen 5,Radeon,8,512 GB SSD Storage,15.6,1.95,36499,23
ACE-3OM9,30,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.1,49490,42
ACE-2QU7,30,AMD Hexa-Core Ryzen 5 Processor,"GeForce GTX 1650 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.57,56990,11
ACE-BECC,30,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.16,49490,10
ASU-Q6DK,92,Intel Core i5 (10th Gen),UHD,8,512 GB SSD Storage,15.6,1.73,44990,30
81X800N2IN,93,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.94,33900,50
50M62PA,94,AMD Quad-Core Ryzen 3,Radeon,8,512 GB SSD Storage,15.6,1.61,30990,23
50M59PA,95,AMD Quad-Core Ryzen 3,Radeon,8,512 GB SSD Storage,14.0,1.59,33978,37
81H7001WIN,96,Intel Core i3 (7th Gen),HD 620,4,NO SSD + 1024 GB HDD Storage,15.6,1.68,36370,3
XIA-OD9V,97,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,15.6,1.8,39990,44
81X800J3IN,98,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.89,40990,20
81DE01MJIN,99,Intel Core i5 (8th Gen),"Geforce MX150 GPU, 2 GB",8,NO SSD + 1024 GB HDD Storage,15.6,1.92,32927,6
ASU-X0II,100,Intel Core i5 (10th Gen),UHD,8,512 GB SSD Storage,15.6,1.73,48188,36
AVI-GE4H,101,AMD Quad-Core Ryzen 5,Radeon Vega 8,8,512 GB SSD Storage,14.0,1.48,51490,9
ACE-MXVB,6,Intel Core i3 (11th Gen),Integrated,8,256 GB SSD Storage,14.0,1.58,26999,39
INF-WZK0,102,Intel Core i3 (10th Gen),UHD,8,256 GB SSD Storage,14.0,1.62,29990,43
82H802XXIN,103,Intel Core i5 (11th Gen),Iris Xe,16,512 GB SSD Storage,15.6,1.85,50990,26
ACE-RIFE,6,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,14.0,1.49,27990,13
360L7PA,104,Intel Pentium Dual-Core,UHD,8,NO SSD + 1024 GB HDD Storage,15.6,1.65,40550,34
82H803HQIN,23,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,15.6,1.88,40990,43
82H802KVIN,2,Intel Core i5 (11th Gen),Integrated,8,512 GB SSD Storage,15.6,1.8,54990,25
MSI-H48H,105,Intel Core i5 (9th Gen),"Geforce GTX 1650 Max-Q GPU, 4 GB",8,512 GB SSD Storage,15.6,2.37,57999,6
546K2PA,106,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,14.0,1.47,45890,18
82K101LGIN,18,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.39,53000,25
ASU-QZKV,107,Intel Core i5 (10th Gen),"GeForce GTX 1650 Ti GPU, 4 GB",8,512 GB SSD Storage,15.6,2.36,55990,3
9D3M7PA,108,Intel Core i3 (12th Gen),UHD,8,512 GB SSD Storage,14.0,1.51,41490,31
82K101B6IN,109,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.4,53000,9
82R400ERIN,110,AMD Hexa-Core Ryzen 5,Radeon,16,512 GB SSD Storage,15.6,1.74,38990,39
INF-5ZRJ,111,Intel Core i3 (10th Gen),UHD,8,512 GB SSD Storage,15.6,1.83,32990,6
4R8B8PA,112,AMD Dual-Core Ryzen 3,Radeon,8,256 GB SSD Storage,15.6,1.93,37890,16
6Q0N0PA,113,AMD Dual-Core Ryzen 3,Radeon,8,256 GB SSD Storage,15.6,1.84,27990,44
81WB0193IN,114,Intel Core i3 (10th Gen),UHD,8,256 GB SSD Storage,15.6,1.7,34690,16
ASU-E5LK,115,Intel Core i5 (12th Gen),Iris Xe,16,512 GB SSD Storage,14.0,1.34,61990,36
XIA-98Y2,116,Intel Core i5 (11th Gen) Processor,Iris Xe,16,512 GB SSD Storage,15.6,1.92,63976,37
D560860WIN9BE,34,Intel Core i3 (11th Gen),UHD,8,256 GB SSD Storage + 1024 GB HDD Storage,15.6,1.7,34499,5
6D9T7PA,117,AMD Hexa-Core Ryzen 5,Radeon,16,512 GB SSD Storage,14.0,1.63,66596,10
5S7P8PA,118,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.89,37099,21
440L6PA,119,AMD Quad-Core Ryzen 5,Radeon Vega 8,8,512 GB SSD Storage,15.6,1.77,41999,22
AVI-2QZJ,120,AMD Quad-Core Ryzen 5,Radeon RX Vega 10,8,512 GB SSD Storage,14.0,1.42,42492,29
689H4PA,121,AMD Hexa-Core Ryzen 5,Radeon,8,512 GB SSD Storage,14.0,1.61,54490,14
81X800LCIN,2,Intel Core i3 (11th Gen),UHD,8,256 GB SSD Storage,15.6,1.92,32500,43
ASU-9811,122,Intel Core i3 (11th Gen),UHD,4,256 GB SSD Storage,15.6,1.81,30900,35
6Z2P5PA,123,Intel Core i5 (12th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.14,60999,14
38Y95PA,124,Intel Core i3 (11th Gen) Processor,UHD,8,256 GB SSD Storage,14.0,1.37,39646,33
ASU-6AM0,125,AMD Quad-Core Ryzen 3,Radeon,8,512 GB SSD Storage,15.6,1.87,37990,22
80S700DRIH,126,Intel Core i3 (6th Gen),HD 520,4,NO SSD + 1024 GB HDD Storage,14.0,1.56,40940,49
ASU-77LW,127,AMD Octa-Core Ryzen 7,Radeon,16,512 GB SSD Storage,15.6,1.93,61899,21
82RK0062IN,128,Intel Core i5 (12th Gen),Iris Xe,8,512 GB SSD Storage,15.6,1.68,46990,10
ASU-UO9Z,129,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,17.3,3.49,67990,6
3V2N1PA,130,Intel Core i5 (11th Gen) Processor,Iris Xe,8,512 GB SSD Storage,15.6,1.77,50299,23
82RK0085IN,114,Intel Core i5 (12th Gen),Iris Xe,16,512 GB SSD Storage,15.6,1.71,57990,29
ASU-AZ5V,131,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.35,55990,27
INF-7LWG,102,Intel Core i5 (10th Gen),UHD,8,512 GB SSD Storage,14.0,1.46,47999,18
81X700CWIN,132,Intel Core i3 (11th Gen),UHD,8,256 GB SSD Storage,14.0,1.45,36890,25
2R2H3PA,133,Intel Core i3 (11th Gen),UHD,8,256 GB SSD Storage,14.0,1.51,52185,1
18N71PA,134,Intel Celeron Dual-Core,UHD 600,4,NO SSD + 1024 GB HDD Storage,15.6,1.92,22071,14
82H701DNIN,114,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,14.0,1.42,39900,41
4N0W7PA,135,AMD Hexa-Core Ryzen 5,"Radeon RX 5500M GPU, 4 GB",8,512 GB SSD Storage,16.1,1.97,53999,21
D560801WIN9B,34,Intel Core i3 (11th Gen) Processor,UHD Graphics,8,512 GB SSD Storage,15.6,1.83,37990,16
ACE-2TPK,136,Intel Core i5 (12th Gen),"GeForce RTX 2050 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.68,49990,34
3V6P4PA,137,AMD Quad-Core Ryzen 3,Radeon,8,512 GB SSD Storage,14.0,1.63,43999,17
81X800LAIN,114,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.84,39448,37
ACE-9LC3,136,Intel Core i5 (12th Gen),"GeForce RTX 2050 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.62,48990,5
APP-NFDR,138,2.3 Ghz Processor,M1,16,1024 GB SSD Storage,14.2,1.3,219990,38
546K8PA,139,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,15.6,1.94,59800,50
82H801FKIN,2,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.86,35100,35
300J2PA,140,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.36,56064,36
D560896WIN9B,69,Intel Core i3 (12th Gen),UHD,8,512 GB SSD Storage,15.6,1.88,36990,11
ACE-T0VV,136,Intel Core i5 (12th Gen),"GeForce GTX 3050 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.19,57990,4
82FG0125IN,141,Intel Core i5 (11th Gen) Processor,Iris Xe,16,512 GB SSD Storage,15.6,1.7,58790,46
ACE-2U0X,136,Intel Core i5 (12th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.21,53890,11
82VG00EQIN,142,AMD Dual-Core Athlon,Radeon 610M,8,512 GB SSD Storage,15.6,1.89,28990,44
637X2PA,143,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,15.6,1.61,51490,26
5R7P3PA,144,Intel Core i3 (11th Gen) Processor,UHD,8,512 GB SSD Storage,15.6,1.94,38500,9
2N1L4PA,145,Intel Core i7 (11th Gen),Iris Xe,16,1024 GB SSD Storage,14.0,1.41,76999,11
D560766WIN9BE,146,AMD Dual-Core Athlon,Radeon,8,256 GB SSD Storage,15.6,1.8,31990,3
MSI-KVI4,147,AMD Octa-Core Ryzen 7,"Radeon RX6500M GPU, 4 GB",16,512 GB SSD Storage,15.6,1.62,61990,50
MSI-NIIC,148,Intel Core i5 (11th Gen),"GeForce GTX 1650 MAX Q GPU, 4 GB",8,512 GB SSD Storage,15.6,2.35,47769,47
ACE-SCK5,63,Intel Core i5 (12th Gen),GeForce RTX 2050,8,512 GB SSD Storage,15.6,2.56,62990,23
ASU-0C7G,149,Intel Celeron Dual-Core,HD 500,4,64 GB SSD Storage,14.0,1.46,18990,19
ACE-SU75,150,Intel Core i3 (10th Gen),UHD,4,512 GB SSD Storage,14.0,1.56,27775,32
ACE-MBK1,151,Intel Core i3 (8th Gen),UHD 620,4,NO SSD + 1024 GB HDD Storage,15.6,1.72,30360,24
81WB010XIN,152,Intel Core i3 (10th Gen),UHD,4,256 GB SSD Storage,15.6,1.67,34990,35
81WH007KIN,153,Intel Celeron Dual-Core,Integrated,4,256 GB SSD Storage,14.0,1.34,25200,18
695R9PA,154,Intel Core i5 (12th Gen),Iris Xe,8,512 GB SSD Storage,14.0,1.5,54999,27
INF-FL86,72,Intel Core i5 (10th Gen),"UHD GPU, 128 MB",8,512 GB SSD Storage,14.0,1.33,33390,33
82K2025LIN,43,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.14,72000,20
6K7V7PA,155,AMD Hexa-Core Ryzen 5,Radeon Graphics,16,512 GB SSD Storage,14.0,1.39,50568,30
D560573WIN9BE,34,Intel Core i3 (10th Gen),UHD,8,256 GB SSD Storage + 1024 GB HDD Storage,15.6,1.67,35999,41
ICC-D585041WIN8,156,Intel Core i3 (10th Gen),UHD,8,256 GB SSD Storage + 1024 GB HDD Storage,15.6,1.83,44350,1
82V6006EIN,157,Intel Celeron Dual-Core,UHD,8,256 GB SSD Storage,14.0,1.5,25490,35
ACE-3ONA,158,Intel Core i7 (12th Gen),"GeForce RTX 3070 Ti GPU, 8 GB",16,1024 GB SSD Storage,15.6,2.13,102990,6
6K9C6PA,159,Intel Core i5 (12th Gen),Iris Xe,8,512 GB SSD Storage,14.0,1.39,62490,10
ASU-0KNT,160,Intel Celeron Dual-Core,UHD,4,128 GB SSD Storage,15.6,1.92,17990,49
7K4X0PA,161,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,16.1,2.59,55400,22
82YU00W7IN,162,AMD Quad-Core Ryzen 3,Radeon,8,512 GB SSD Storage,15.6,1.7,27990,39
81Y401ANIN,163,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",8,256 GB SSD Storage + 1024 GB HDD Storage,15.6,2.13,60990,13
7K4X1PA,164,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",16,512 GB SSD Storage,16.1,2.27,60900,32
8H968PA,165,AMD Hexa-Core Ryzen 5,Radeon,16,512 GB SSD Storage,15.6,1.91,44800,28
8H969PA,166,AMD Octa-Core Ryzen 7,Radeon,16,512 GB SSD Storage,15.6,1.78,48990,28
MSI-FX33,167,Intel Core i7 (7th Gen),"GeForce GTX 1050 GPU, 4 GB",8,NO SSD + 1024 GB HDD Storage,15.6,2.68,67990,18
ACE-JFYT,168,AMD Dual-Core Athlon,Radeon,4,256 GB SSD Storage,14.0,1.46,22899,46
ASU-HTFF,169,AMD Octa-Core Ryzen 7,Radeon,16,512 GB SSD Storage,16.0,1.86,58990,11
ACE-LJQE,12,Intel Core i7 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",16,512 GB SSD Storage,16.0,2.48,120980,16
67U22PA,170,Intel Core i5 (12th Gen),Iris Xe,8,512 GB SSD Storage,15.6,1.89,74250,18
48U95PA,171,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",8,256 GB SSD Storage + 1024 GB HDD Storage,15.6,2.66,68200,4
AVI-UOVE,172,Intel Celeron Dual-Core,UHD 600,4,128 GB SSD Storage,14.1,1.52,15990,16
ASU-VCWF,173,Intel Core i3 (10th Gen),UHD,8,NO SSD + 1024 GB HDD Storage,15.6,1.81,39990,29
ASU-8BVC,174,Intel Core i5 (11th Gen),Iris Xe,8,256 GB SSD Storage + 1024 GB HDD Storage,14.0,1.59,57099,11
MSI-VYQI,175,Intel Core i5 (12th Gen),Iris Xe,16,512 GB SSD Storage,14.0,1.48,42990,18
4X7D7PA,176,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,14.0,1.42,59990,2
82K10198IN,18,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.05,48411,34
ASU-TTDM,177,Intel Core i5 (12th Gen),"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,16.0,3.07,74500,8
AVI-U4NL,178,Intel Celeron Dual-Core,Integrated,4,128 GB SSD Storage,14.1,1.62,20990,42
ACE-HJNL,158,Intel Core i5 (12th Gen),"Geforce RTX 3050 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.01,68990,10
MSI-TI73,179,Intel Core i7 (11th Gen),"GeForce GTX 1650 MAX Q GPU, 4 GB",8,512 GB SSD Storage,15.6,2.41,71490,23
546K3PA,180,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.81,35500,33
ACE-O5O6,158,Intel Core i5 (12th Gen),"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.3,64990,30
MSI-IK9T,181,Intel Core i5 (10th Gen),"GeForce RTX 3060 GPU, 6 GB",16,512 GB SSD Storage,15.6,2.51,69990,5
ASU-DYI4,182,Intel Core i5 (11th Gen),Iris Xe,8,NO SSD + 1024 GB HDD Storage,15.6,1.81,51790,2
MSI-2HXE,183,Intel Core i7 (10th Gen) Processor,"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.52,63563,11
82RK00VWIN,114,Intel Core i3 (12th Gen),UHD,8,512 GB SSD Storage,15.6,1.82,36300,45
