SKU_ID,ProductID,CPU,GPU,RAM,Storage,ScreenSize,Weight,Price,Stock
689T3PA,33,AMD Dual-Core Ryzen 3,Radeon,8,512 GB SSD Storage,14.0,1.56,26990,9
D560656WIN9S,34,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.92,39250,20
3Y0H4PA,35,Intel Celeron Dual-Core,UHD,8,256 GB SSD Storage,14.0,1.49,27875,15
ASU-DSQWD,36,Intel Celeron Dual-Core,UHD,4,128 GB SSD Storage,11.6,1.12,24999,25
MSI-9QHG5,37,Intel Core i5 (11th Gen),"GeForce RTX 3050 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.19,56990,21
ASU-3XLFJ,38,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.26,51160,48
ACE-YDJ98,39,Intel Core i3 (12th Gen),UHD,8,512 GB SSD Storage,15.6,1.61,35199,3
ACE-LYF5H,40,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.83,32990,49
ACE-J2LXF,41,Intel Pentium Quad-Core,UHD 605,4,256 GB SSD Storage,15.6,1.64,23999,20
ASU-3J28E,42,Intel Core i5 (13th Gen),Iris Xe,16,512 GB SSD Storage,15.6,1.7,64990,41
82K201UMIN,43,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.6,72990,30
ASU-WZ3R2,44,Intel Core i9 (12th Gen),Iris Xe,32,1024 GB SSD Storage,14.0,1.12,169990,39
5R7P5PA,45,Intel Core i3 (11th Gen) Processor,UHD,8,512 GB SSD Storage,15.6,1.72,49999,47
HP-Z0GL1,46,Intel Core i5 (12th Gen),Iris Xe,16,512 GB SSD Storage,14.0,1.4,54990,11
ASU-K11D8,47,AMD Octa-Core Ryzen 7,"GeForce RTX 3060 GPU, 6 GB",16,1024 GB SSD Storage,15.6,2.27,96990,16
ASU-0YKGJ,48,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,14.0,1.43,36999,26
D560818WIN9B,49,AMD Hexa-Core Ryzen 5,"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.69,89500,25
SAM-7RDP1,50,Intel Core i5 (12th Gen),Iris Xe,16,512 GB SSD Storage,13.3,1.28,72990,34
82H801L3IN,21,Intel Core i3 (11th Gen) Processor,UHD,8,256 GB SSD Storage,15.6,1.88,34990,5
ACE-KBFQI,51,Intel Core i9 (11th Gen),"GeForce RTX 3060 GPU, 6 GB",16,1024 GB SSD Storage,15.6,2.49,129990,6
MSI-D2GLR,52,Intel Core i7 (10th Gen),"GeForce GTX 1650 Max Q GPU, 4 GB",8,256 GB SSD Storage + 1024 GB HDD Storage,15.6,2.64,65999,6
D560594WIN9S,53,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,14.0,1.51,76900,24
ASU-CFC17,54,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.31,50990,22
ASU-A273Z,55,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 Ti GPU, 4 GB",16,512 GB SSD Storage,15.6,2.29,141990,14
ASU-G6FBV,56,AMD Dual-Core Ryzen 3,Integrated,8,256 GB SSD Storage,15.6,1.71,59999,7
ASU-7J8NE,57,Intel Core i3 (10th Gen),UHD,8,512 GB SSD Storage,15.6,1.66,32990,3
INF-OCJ6Q,58,Intel Core i7 (13th Gen),Iris Xe,16,512 GB SSD Storage,15.6,1.71,49990,21
82AU00KLIN,59,Intel Core i5 (10th Gen),"Geforce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.42,53535,42
6Q0M8PA,60,AMD Dual-Core Ryzen 3,Radeon,8,512 GB SSD Storage,15.6,1.68,37990,48
681Y5PA,61,Intel Celeron Dual-Core,UHD,8,256 GB SSD Storage,14.0,1.45,28990,4
ASU-UGFMA,62,AMD Dual-Core Ryzen 3,Radeon Vega 3,8,512 GB SSD Storage,15.6,1.74,41990,47
ACE-FHYEJ,63,Intel Core i5 (12th Gen),"GeForce RTX 2050 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.23,55500,22
ASU-SU33J,64,Intel Core i3 (12th Gen),UHD Graphics,8,512 GB SSD Storage,15.6,1.74,59800,13
D560841WIN9S,34,Intel Core i3 (11th Gen) Processor,Integrated,8,256 GB SSD Storage + 1024 GB HDD Storage,15.6,1.94,42399,30
82HS00W2IN,65,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,14.0,1.62,56999,26
ACE-NZTMW,66,Intel Core i3 (12th Gen) Processor,UHD,8,256 GB SSD Storage,15.6,1.89,31490,24
ACE-BKVPM,67,AMD Quad-Core Ryzen 5,Radeon,8,512 GB SSD Storage,15.6,1.66,32990,45
ASU-XPRNU,68,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,17.3,2.27,77990,25
D560869WIN9B,69,Intel Core i3 (12th Gen),Integrated,8,256 GB SSD Storage,15.6,1.62,33990,18
D560819WIN9B,49,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.57,79990,45
ASU-35LZY,70,AMD Hexa-Core Ryzen 5,Radeon,16,512 GB SSD Storage,14.0,1.06,91990,34
ACE-0ZF0V,67,AMD Quad-Core Ryzen 3,Radeon,8,512 GB SSD Storage,15.6,1.81,30990,9
6F9T9PA,71,AMD Hexa-Core Ryzen 5,"GeForce RTX 3050 Ti GPU, 4 GB",8,512 GB SSD Storage,15.6,2.44,64551,12
INF-R8W1K,72,Intel Core i3 (10th Gen),"UHD GPU, 128 MB",8,512 GB SSD Storage,14.0,1.54,27990,20
ACE-RUQ9S,73,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,14.0,1.03,71480,14
APP-T72L6,74,Apple M1,M1,8,256 GB SSD Storage,13.3,1.25,90900,33
REA-Y4AFV,75,Intel Core i3 (11th Gen),UHD,8,256 GB SSD Storage,14.0,1.61,42999,46
APP-CW5DP,76,Intel Core i5 (5th Gen),HD 6000,8,128 GB SSD Storage,13.3,1.31,67990,31
494P2PA,77,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,16.1,2.98,62112,9
ASU-I76B9,78,Intel Core i5 (12th Gen),"GeForce RTX 2050 GPU, 4 GB",8,512 GB SSD Storage,16.0,3.17,57990,24
ASU-7P2LH,79,Intel Celeron Dual-Core,UHD 600,4,NO SSD + 1024 GB HDD Storage,15.6,1.74,23804,36
3E3R5PA,80,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.37,56990,6
6N024PA,81,Intel Core i3 (11th Gen),UHD,8,256 GB SSD Storage,14.0,1.37,33990,40
ASU-VJUBX,82,Intel Core i3 (10th Gen),UHD,8,512 GB SSD Storage,15.6,1.67,35990,19
6N049PA,83,Intel Core i3 (11th Gen),Integrated,8,512 GB SSD Storage,15.6,1.66,37023,41
ACE-XA6SF,84,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.68,49500,8
ASU-QO8T4,85,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.74,33990,19
35K35PA,86,AMD Dual-Core Ryzen 3,Radeon Vega 6,8,256 GB SSD Storage + 1024 GB HDD Storage,15.6,1.67,36990,20
ASU-MU93X,87,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,15.6,1.69,41999,49
ASU-RNSJ6,88,Intel Core i5 (11th Gen),Iris Xe,16,512 GB SSD Storage,14.0,1.36,46990,41
ASU-96MGS,89,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.33,50990,26
APP-KMF7O,90,Apple M2 Processor,M2 Integrated,8,256 GB SSD Storage,13.6,1.34,92990,5
50M63PA,91,AMD Hexa-Core Ryzen 5,Radeon,8,512 GB SSD Storage,15.6,1.71,36499,39
ACE-SVRU8,30,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.12,49490,28
ACE-CNPA1,30,AMD Hexa-Core Ryzen 5 Processor,"GeForce GTX 1650 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.73,56990,23
ACE-K0YA2,30,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.55,49490,27
ASU-7N3O5,92,Intel Core i5 (10th Gen),UHD,8,512 GB SSD Storage,15.6,1.69,44990,2
81X800N2IN,93,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.81,33900,22
50M62PA,94,AMD Quad-Core Ryzen 3,Radeon,8,512 GB SSD Storage,15.6,1.66,30990,3
50M59PA,95,AMD Quad-Core Ryzen 3,Radeon,8,512 GB SSD Storage,14.0,1.58,33978,20
81H7001WIN,96,Intel Core i3 (7th Gen),HD 620,4,NO SSD + 1024 GB HDD Storage,15.6,1.78,36370,33
XIA-UO2JN,97,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,15.6,1.9,39990,5
81X800J3IN,98,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.7,40990,2
81DE01MJIN,99,Intel Core i5 (8th Gen),"Geforce MX150 GPU, 2 GB",8,NO SSD + 1024 GB HDD Storage,15.6,1.78,32927,20
ASU-M6QQK,100,Intel Core i5 (10th Gen),UHD,8,512 GB SSD Storage,15.6,1.67,48188,7
AVI-YGXL6,101,AMD Quad-Core Ryzen 5,Radeon Vega 8,8,512 GB SSD Storage,14.0,1.42,51490,39
ACE-EENOR,6,Intel Core i3 (11th Gen),Integrated,8,256 GB SSD Storage,14.0,1.32,26999,43
INF-L35KJ,102,Intel Core i3 (10th Gen),UHD,8,256 GB SSD Storage,14.0,1.36,29990,6
82H802XXIN,103,Intel Core i5 (11th Gen),Iris Xe,16,512 GB SSD Storage,15.6,1.65,50990,6
ACE-C6OA5,6,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,14.0,1.45,27990,25
360L7PA,104,Intel Pentium Dual-Core,UHD,8,NO SSD + 1024 GB HDD Storage,15.6,1.72,40550,9
82H803HQIN,23,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,15.6,1.6,40990,40
82H802KVIN,2,Intel Core i5 (11th Gen),Integrated,8,512 GB SSD Storage,15.6,1.64,54990,28
MSI-IMMKS,105,Intel Core i5 (9th Gen),"Geforce GTX 1650 Max-Q GPU, 4 GB",8,512 GB SSD Storage,15.6,2.15,57999,39
546K2PA,106,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,14.0,1.41,45890,23
82K101LGIN,18,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.04,53000,37
ASU-JY715,107,Intel Core i5 (10th Gen),"GeForce GTX 1650 Ti GPU, 4 GB",8,512 GB SSD Storage,15.6,2.26,55990,1
9D3M7PA,108,Intel Core i3 (12th Gen),UHD,8,512 GB SSD Storage,14.0,1.49,41490,41
82K101B6IN,109,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.24,53000,2
82R400ERIN,110,AMD Hexa-Core Ryzen 5,Radeon,16,512 GB SSD Storage,15.6,1.91,38990,22
INF-1YQFU,111,Intel Core i3 (10th Gen),UHD,8,512 GB SSD Storage,15.6,1.86,32990,14
4R8B8PA,112,AMD Dual-Core Ryzen 3,Radeon,8,256 GB SSD Storage,15.6,1.71,37890,16
6Q0N0PA,113,AMD Dual-Core Ryzen 3,Radeon,8,256 GB SSD Storage,15.6,1.69,27990,37
81WB0193IN,114,Intel Core i3 (10th Gen),UHD,8,256 GB SSD Storage,15.6,1.61,34690,20
ASU-SD9US,115,Intel Core i5 (12th Gen),Iris Xe,16,512 GB SSD Storage,14.0,1.49,61990,24
XIA-LUT1G,116,Intel Core i5 (11th Gen) Processor,Iris Xe,16,512 GB SSD Storage,15.6,1.84,63976,30
D560860WIN9BE,34,Intel Core i3 (11th Gen),UHD,8,256 GB SSD Storage + 1024 GB HDD Storage,15.6,1.73,34499,13
6D9T7PA,117,AMD Hexa-Core Ryzen 5,Radeon,16,512 GB SSD Storage,14.0,1.34,66596,43
5S7P8PA,118,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.68,37099,17
440L6PA,119,AMD Quad-Core Ryzen 5,Radeon Vega 8,8,512 GB SSD Storage,15.6,1.64,41999,12
AVI-74MAF,120,AMD Quad-Core Ryzen 5,Radeon RX Vega 10,8,512 GB SSD Storage,14.0,1.34,42492,35
689H4PA,121,AMD Hexa-Core Ryzen 5,Radeon,8,512 GB SSD Storage,14.0,1.52,54490,42
81X800LCIN,2,Intel Core i3 (11th Gen),UHD,8,256 GB SSD Storage,15.6,1.68,32500,20
ASU-XW5TK,122,Intel Core i3 (11th Gen),UHD,4,256 GB SSD Storage,15.6,1.7,30900,20
6Z2P5PA,123,Intel Core i5 (12th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.03,60999,41
38Y95PA,124,Intel Core i3 (11th Gen) Processor,UHD,8,256 GB SSD Storage,14.0,1.33,39646,40
ASU-5NOGN,125,AMD Quad-Core Ryzen 3,Radeon,8,512 GB SSD Storage,15.6,1.76,37990,48
80S700DRIH,126,Intel Core i3 (6th Gen),HD 520,4,NO SSD + 1024 GB HDD Storage,14.0,1.4,40940,44
ASU-5X79J,127,AMD Octa-Core Ryzen 7,Radeon,16,512 GB SSD Storage,15.6,1.84,61899,8
82RK0062IN,128,Intel Core i5 (12th Gen),Iris Xe,8,512 GB SSD Storage,15.6,1.69,46990,31
ASU-K8GQW,129,AMD Octa-Core Ryzen 7,"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,17.3,2.94,67990,33
3V2N1PA,130,Intel Core i5 (11th Gen) Processor,Iris Xe,8,512 GB SSD Storage,15.6,1.72,50299,4
82RK0085IN,114,Intel Core i5 (12th Gen),Iris Xe,16,512 GB SSD Storage,15.6,1.69,57990,15
ASU-9ERLT,131,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.34,55990,14
INF-HKYD1,102,Intel Core i5 (10th Gen),UHD,8,512 GB SSD Storage,14.0,1.58,47999,30
81X700CWIN,132,Intel Core i3 (11th Gen),UHD,8,256 GB SSD Storage,14.0,1.52,36890,26
2R2H3PA,133,Intel Core i3 (11th Gen),UHD,8,256 GB SSD Storage,14.0,1.39,52185,21
18N71PA,134,Intel Celeron Dual-Core,UHD 600,4,NO SSD + 1024 GB HDD Storage,15.6,1.72,22071,22
82H701DNIN,114,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,14.0,1.63,39900,21
4N0W7PA,135,AMD Hexa-Core Ryzen 5,"Radeon RX 5500M GPU, 4 GB",8,512 GB SSD Storage,16.1,2.35,53999,23
D560801WIN9B,34,Intel Core i3 (11th Gen) Processor,UHD Graphics,8,512 GB SSD Storage,15.6,1.69,37990,36
ACE-CYMX2,136,Intel Core i5 (12th Gen),"GeForce RTX 2050 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.2,49990,29
3V6P4PA,137,AMD Quad-Core Ryzen 3,Radeon,8,512 GB SSD Storage,14.0,1.58,43999,18
81X800LAIN,114,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.62,39448,43
ACE-Q66UU,136,Intel Core i5 (12th Gen),"GeForce RTX 2050 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.46,48990,38
APP-46BRD,138,2.3 Ghz Processor,M1,16,1024 GB SSD Storage,14.2,1.62,219990,35
546K8PA,139,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,15.6,1.73,59800,16
82H801FKIN,2,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.65,35100,1
300J2PA,140,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.14,56064,27
D560896WIN9B,69,Intel Core i3 (12th Gen),UHD,8,512 GB SSD Storage,15.6,1.65,36990,1
ACE-6A4GV,136,Intel Core i5 (12th Gen),"GeForce GTX 3050 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.36,57990,41
82FG0125IN,141,Intel Core i5 (11th Gen) Processor,Iris Xe,16,512 GB SSD Storage,15.6,1.79,58790,25
ACE-T65K6,136,Intel Core i5 (12th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.15,53890,27
82VG00EQIN,142,AMD Dual-Core Athlon,Radeon 610M,8,512 GB SSD Storage,15.6,1.79,28990,49
637X2PA,143,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,15.6,1.67,51490,36
5R7P3PA,144,Intel Core i3 (11th Gen) Processor,UHD,8,512 GB SSD Storage,15.6,1.67,38500,11
2N1L4PA,145,Intel Core i7 (11th Gen),Iris Xe,16,1024 GB SSD Storage,14.0,1.31,76999,46
D560766WIN9BE,146,AMD Dual-Core Athlon,Radeon,8,256 GB SSD Storage,15.6,1.67,31990,34
MSI-65IQJ,147,AMD Octa-Core Ryzen 7,"Radeon RX6500M GPU, 4 GB",16,512 GB SSD Storage,15.6,1.81,61990,46
MSI-8HUQJ,148,Intel Core i5 (11th Gen),"GeForce GTX 1650 MAX Q GPU, 4 GB",8,512 GB SSD Storage,15.6,2.66,47769,28
ACE-GRQS0,63,Intel Core i5 (12th Gen),GeForce RTX 2050,8,512 GB SSD Storage,15.6,2.1,62990,32
ASU-SRHGF,149,Intel Celeron Dual-Core,HD 500,4,64 GB SSD Storage,14.0,1.57,18990,10
ACE-KH33T,150,Intel Core i3 (10th Gen),UHD,4,512 GB SSD Storage,14.0,1.37,27775,45
ACE-BE2UG,151,Intel Core i3 (8th Gen),UHD 620,4,NO SSD + 1024 GB HDD Storage,15.6,1.74,30360,50
81WB010XIN,152,Intel Core i3 (10th Gen),UHD,4,256 GB SSD Storage,15.6,1.69,34990,24
81WH007KIN,153,Intel Celeron Dual-Core,Integrated,4,256 GB SSD Storage,14.0,1.44,25200,37
695R9PA,154,Intel Core i5 (12th Gen),Iris Xe,8,512 GB SSD Storage,14.0,1.32,54999,30
INF-BHGPC,72,Intel Core i5 (10th Gen),"UHD GPU, 128 MB",8,512 GB SSD Storage,14.0,1.37,33390,22
82K2025LIN,43,AMD Hexa-Core Ryzen 5,"GeForce GTX 1650 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.07,72000,22
6K7V7PA,155,AMD Hexa-Core Ryzen 5,Radeon Graphics,16,512 GB SSD Storage,14.0,1.36,50568,23
D560573WIN9BE,34,Intel Core i3 (10th Gen),UHD,8,256 GB SSD Storage + 1024 GB HDD Storage,15.6,1.7,35999,27
ICC-D585041WIN8,156,Intel Core i3 (10th Gen),UHD,8,256 GB SSD Storage + 1024 GB HDD Storage,15.6,1.87,44350,13
82V6006EIN,157,Intel Celeron Dual-Core,UHD,8,256 GB SSD Storage,14.0,1.46,25490,28
ACE-SQ2KP,158,Intel Core i7 (12th Gen),"GeForce RTX 3070 Ti GPU, 8 GB",16,1024 GB SSD Storage,15.6,2.32,102990,1
6K9C6PA,159,Intel Core i5 (12th Gen),Iris Xe,8,512 GB SSD Storage,14.0,1.63,62490,49
ASU-CIRIG,160,Intel Celeron Dual-Core,UHD,4,128 GB SSD Storage,15.6,1.92,17990,31
7K4X0PA,161,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,16.1,2.91,55400,25
82YU00W7IN,162,AMD Quad-Core Ryzen 3,Radeon,8,512 GB SSD Storage,15.6,1.66,27990,20
81Y401ANIN,163,Intel Core i5 (10th Gen),"GeForce GTX 1650 GPU, 4 GB",8,256 GB SSD Storage + 1024 GB HDD Storage,15.6,2.5,60990,4
7K4X1PA,164,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",16,512 GB SSD Storage,16.1,3.21,60900,14
8H968PA,165,AMD Hexa-Core Ryzen 5,Radeon,16,512 GB SSD Storage,15.6,1.73,44800,30
8H969PA,166,AMD Octa-Core Ryzen 7,Radeon,16,512 GB SSD Storage,15.6,1.73,48990,10
MSI-26YAC,167,Intel Core i7 (7th Gen),"GeForce GTX 1050 GPU, 4 GB",8,NO SSD + 1024 GB HDD Storage,15.6,2.56,67990,1
ACE-HB5G9,168,AMD Dual-Core Athlon,Radeon,4,256 GB SSD Storage,14.0,1.35,22899,20
ASU-KSP4D,169,AMD Octa-Core Ryzen 7,Radeon,16,512 GB SSD Storage,16.0,2.11,58990,7
ACE-0UEA4,12,Intel Core i7 (13th Gen) Processor,"GeForce RTX 4050 GPU, 6 GB",16,512 GB SSD Storage,16.0,2.78,120980,20
67U22PA,170,Intel Core i5 (12th Gen),Iris Xe,8,512 GB SSD Storage,15.6,1.81,74250,45
48U95PA,171,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",8,256 GB SSD Storage + 1024 GB HDD Storage,15.6,2.61,68200,48
AVI-1IOVG,172,Intel Celeron Dual-Core,UHD 600,4,128 GB SSD Storage,14.1,1.43,15990,8
ASU-MKM6R,173,Intel Core i3 (10th Gen),UHD,8,NO SSD + 1024 GB HDD Storage,15.6,1.68,39990,31
ASU-B4ZH9,174,Intel Core i5 (11th Gen),Iris Xe,8,256 GB SSD Storage + 1024 GB HDD Storage,14.0,1.59,57099,25
MSI-2QLK0,175,Intel Core i5 (12th Gen),Iris Xe,16,512 GB SSD Storage,14.0,1.62,42990,15
4X7D7PA,176,Intel Core i5 (11th Gen),Iris Xe,8,512 GB SSD Storage,14.0,1.48,59990,15
82K10198IN,18,Intel Core i5 (11th Gen),"GeForce GTX 1650 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.16,48411,26
ASU-O70F3,177,Intel Core i5 (12th Gen),"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,16.0,2.87,74500,39
AVI-TX2FI,178,Intel Celeron Dual-Core,Integrated,4,128 GB SSD Storage,14.1,1.57,20990,5
ACE-AQAP2,158,Intel Core i5 (12th Gen),"Geforce RTX 3050 GPU, 4 GB",8,512 GB SSD Storage,15.6,2.28,68990,49
MSI-8LIJL,179,Intel Core i7 (11th Gen),"GeForce GTX 1650 MAX Q GPU, 4 GB",8,512 GB SSD Storage,15.6,2.6,71490,34
546K3PA,180,Intel Core i3 (11th Gen),UHD,8,512 GB SSD Storage,15.6,1.66,35500,18
ACE-GKVG6,158,Intel Core i5 (12th Gen),"GeForce RTX 3050 GPU, 4 GB",16,512 GB SSD Storage,15.6,2.3,64990,46
MSI-IIU0R,181,Intel Core i5 (10th Gen),"GeForce RTX 3060 GPU, 6 GB",16,512 GB SSD Storage,15.6,2.72,69990,25
ASU-1YQAT,182,Intel Core i5 (11th Gen),Iris Xe,8,NO SSD + 1024 GB HDD Storage,15.6,1.83,51790,8
